,Rank,Title,Year,Number of Episodes,Genre,Anime Type,Production House,Ratings,Comments
0,1,Frieren: Beyond Journey’s End,2023,28,Adventure,TV-Series,MADHOUSE Inc.,4.54,Masterpiece
1,2,Fullmetal Alchemist: Brotherhood,2009,64,Adventure,TV-Series,BONES Inc.,4.53,Masterpiece
2,3,Your Name.,2016,1,Sentimental Drama,Movie,CoMix Wave Films Inc.,4.51,Masterpiece
3,4,The Apothecary Diaries,2023,24,Drama,TV-Series,"OLM, Inc., TOHO animation STUDIO Co., Ltd.",4.5,Masterpiece
4,5,Code Geass: Lelouch of the Rebellion R2,2008,25,Action Drama,TV-Series,SUNRISE Inc.,4.5,Masterpiece
5,6,Death Note,2006,37,Supernatural Thriller,TV-Series,MADHOUSE Inc.,4.49,Masterpiece
6,7,Attack on Titan: Season 3 (Part 2),2019,10,Action Drama,TV-Series,"WIT STUDIO, Inc.",4.46,Masterpiece
7,8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,2021,11,Action Drama,TV-Series,"ufotable, Inc.",4.46,Masterpiece
8,9,Violet Evergarden: The Movie,2020,1,Sentimental Drama,Movie,"Kyoto Animation Co., Ltd.",4.46,Masterpiece
9,10,Code Geass: Lelouch of the Rebellion,2006,25,Action Drama,TV-Series,SUNRISE Inc.,4.44,Masterpiece
10,11,Steins;Gate,2011,24,Supernatural Thriller,TV-Series,"WHITE FOX Co., Ltd.",4.44,Masterpiece
11,12,A Silent Voice,2016,1,Sentimental Drama,Movie,"Kyoto Animation Co., Ltd.",4.43,Masterpiece
12,13,Clannad: After Story,2008,24,Sentimental Drama,TV-Series,"Kyoto Animation Co., Ltd.",4.41,Masterpiece
13,14,Attack on Titan: Final Season - The Final Chapters,2023,2,Action Drama,TV-Special,"MAPPA Co., Ltd.",4.42,Masterpiece
14,15,GTO: Great Teacher Onizuka,1999,43,Drama,TV-Series,"Pierrot Co., Ltd.",4.41,Masterpiece
