,Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
0,1,Pokémon: The First Movie - Mewtwo Strikes Back,"$85,744,662",3043,"$31,036,678",3043,"Nov 10, 1999",Warner Bros.
1,2,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$49,505,008",2087,"$21,234,994",1614,"Apr 23, 2021",FUNimation Entertainment
2,3,Pokémon the Movie 2000,"$43,758,684",2752,"$19,575,608",2752,"Jul 21, 2000",Warner Bros.
3,4,Dragon Ball Super: Super Hero,"$38,112,140",3018,"$21,126,919",3018,"Aug 19, 2022",Crunchyroll
4,5,Jujutsu Kaisen 0,"$34,542,754",2418,"$18,009,921",2286,"Mar 18, 2022",Crunchyroll
5,6,Dragon Ball Super: Broly,"$30,712,119",1267,"$9,816,197",1238,"Jan 16, 2019",FUNimation Entertainment
6,7,Yu-Gi-Oh!: The Movie - Pyramid of Light,"$19,765,868",2411,"$9,485,494",2411,"Aug 13, 2004",Warner Bros.
7,8,The Secret World of Arrietty,"$19,202,743",1522,"$6,446,395",1522,"Feb 17, 2012",Walt Disney Studios Motion Pictures
8,9,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$17,657,658",1949,"$11,505,414",1949,"Feb 23, 2024",Sony Pictures Releasing
9,10,Pokémon 3 the Movie: Spell of the Unown,"$17,052,128",2675,"$8,240,752",2675,"Apr 6, 2001",Warner Bros.
10,11,Ponyo,"$15,090,399",927,"$3,585,852",927,"Aug 14, 2009",Walt Disney Studios Motion Pictures
11,12,My Hero Academia: Heroes Rising,"$13,304,000",1231,"$5,891,252",1196,"Feb 26, 2020",FUNimation Entertainment
12,13,One Piece Film: Red,"$12,775,324",2367,"$9,340,245",2367,"Nov 4, 2022",Crunchyroll
13,14,My Hero Academia: World Heroes' Mission,"$12,271,658",1585,"$6,255,779",1585,"Oct 29, 2021",FUNimation Entertainment
14,15,Suzume,"$10,932,037",2170,"$5,001,705",2170,"Apr 14, 2023",Crunchyroll
15,16,Spirited Away,"$10,055,859",714,"$449,839",26,"Sep 20, 2002",Walt Disney Studios Motion Pictures
16,17,Digimon: The Movie,"$9,631,153",1825,"$4,233,304",1823,"Oct 6, 2000",Twentieth Century Fox
17,18,Weathering with You,"$8,056,636",1020,"$1,808,533",486,"Jan 15, 2020",GKIDS
18,19,Dragon Ball Z: Resurrection 'F',"$8,008,363",913,"$1,817,937",183,"Aug 4, 2015",FUNimation Entertainment
19,20,My Hero Academia: Two Heroes,"$5,754,556",535,"$1,388,499",508,"Sep 25, 2018",FUNimation Entertainment
20,21,The Wind Rises,"$5,209,580",496,"$313,751",21,"Feb 21, 2014",Walt Disney Studios Motion Pictures
21,22,Your Name.,"$5,017,246",311,"$1,813,781",311,"Apr 7, 2017",FUNimation Entertainment
22,23,Howl's Moving Castle,"$4,711,096",202,"$427,987",36,"Jun 10, 2005",Walt Disney Studios Motion Pictures
23,24,Dragon Ball Z: Battle of Gods,"$2,553,002",692,"$296,414",62,"Aug 5, 2014",Screenvision
24,25,Promare,"$2,529,324",701,"$109,085",54,"Sep 17, 2019",GKIDS
25,26,Mary and the Witch's Flower,"$2,418,404",573,"$348,475",161,"Jan 18, 2018",GKIDS
26,27,Princess Mononoke,"$2,375,308",129,"$144,446",8,"Oct 29, 1999",Miramax
27,28,Pokemon 4Ever: Celebi - Voice of the Forest,"$1,727,447",249,"$717,061",249,"Oct 11, 2002",Dimension Films
28,29,Sword Art Online the Movie: Ordinal Scale,"$1,522,976",621,"$196,454",578,"Mar 9, 2017",Eleven Arts
29,30,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$1,134,786",692,-,-,"Nov 12, 2019",Fathom Events
30,31,Ghost in the Shell 2: Innocence,"$1,043,896",55,"$317,722",47,"Sep 17, 2004",-
31,32,Yu-Gi-Oh!: The Dark Side of Dimensions,"$1,015,339",552,"$656,756",381,"Jan 27, 2017",Screenvision
32,33,From Up on Poppy Hill,"$1,002,895",49,"$57,585",2,"Mar 15, 2013",GKIDS
33,34,Cowboy Bebop: The Movie,"$1,000,045",29,"$234,429",19,"Apr 4, 2003",IDP Distribution
34,35,Boruto: Naruto the Movie,"$919,651",358,"$380,419",140,"Oct 10, 2015",Eleven Arts
35,36,Paprika,"$882,267",37,"$35,593",2,"May 25, 2007",Sony Pictures Classics
36,37,Mirai,"$812,794",780,"$63,325",69,"Nov 29, 2018",GKIDS
